row_number,token,description,filter,formula,index
1,terminalTime,Terminal time (minutes),,TERMINAL,z
2,freeParkingAllowed,"Switch: if 1, travelers assumed to have subsidized parking to not pay the parking fee",,0,
3,freeParkingAvailable,"Free parking is available for this worker (results of free parking model, 1=Free, 2=Pay)",freeParkingAllowed,@freeParking,
4,hourlyParkingCost,Off-peak hourly parking cost,freeParkingAvailable==2,OPRKCST,z
5,destTopology,Destination zone topology,,TOPOLOGY,z
6,destCounty,Destination County,,COUNTY,z
7,origCounty,Origin County,,@origCounty,
8,valueOfTime,Value of Time,,@valueOfTime,
9,autos,Household autos,,@autos,
10,workers,Household workers,,@workers,
11,hhSize,Household size (number of persons),,@hhSize,
12,hhIncomeQ1,Low Income Segment ($0-30k),,"if(@hhIncomeInDollars<30000,1,0)",
13,hhIncomeQ2,Med Income Segment ($30-60k),,"if(@hhIncomeInDollars>=30000,1,0)*if(@hhIncomeInDollars<60000,1,0)",
14,age,Person age,,@age,
15,timeOutbound,Time of day for outbound trip,,@timeOutbound,
16,timeInbound,Time of day for inbound trip,,@timeInbound,
17,tourDuration,"Tour duration, in hours",freeParkingAvailable==2,@tourDuration,
18,tourCategoryJoint,Joint tour,,@tourCategoryJoint,
19,numberOfParticipantsInJointTour,Number of participants in joint tour,tourCategoryJoint,@numberOfParticipantsInJointTour,
20,tourCategorySubtour,Work based subtour,,@tourCategorySubtour,
21,workTourModeIsSOV,Mode for work tour is SOV,tourCategorySubtour,@workTourModeIsSOV,
22,workTourModeIsBike,Mode for work tour is Bike,tourCategorySubtour,@workTourModeIsBike,
23,destZoneAreaType,Area type,,@areaType,
24,originDensityIndex,Origin zone density index,,@originDensityIndex,
25,densityIndex,Destination zone density index (hhdens*empdens)/(hhdens+empdens),,@densityIndex,
26,zonalShortWalkOrig,Short walk to transit at the origin indicator variable,,@zonalShortWalkAccessOrig,
27,zonalLongWalkOrig,Long walk to transit at the origin indicator variable,,@zonalLongWalkAccessOrig,
28,zonalShortWalkDest,Short walk to transit at the destination indicator variable,,@zonalShortWalkAccessDest,
29,zonalLongWalkDest,Long walk to transit at the destination indicator variable,,@zonalLongWalkAccessDest,
30,c_ivt,In-vehicle time coefficient,,-1.7500000000000002E-2,
31,c_ivt_lrt,In-vehicle time coefficient on light rail,,0.90 * c_ivt,
32,c_ivt_ferry,In-vehicle time coefficient on ferry,,0.80 * c_ivt,
33,c_ivt_exp,In-vehicle time coefficient on express bus,,1.00 * c_ivt,
34,c_ivt_hvy,In-vehicle time coefficient on heavy rail,,0.80 * c_ivt,
35,c_ivt_com,In-vehicle time coefficient on commuter rail,,0.70 * c_ivt,
36,c_walkTimeShort,"Walk time coefficient -- see ""walkThresh""",,2.00 * c_ivt,
37,c_walkTimeLong,"Walk time coefficient -- see ""walkThresh""",,10.00 * c_ivt,
38,c_bikeTimeShort,"Bike time coefficient -- see ""bikeThresh""",,4.00 * c_ivt,
39,c_bikeTimeLong,"Bike time coefficient -- see ""bikeThresh""",,20.00 * c_ivt,
40,c_cost,"Cost coefficient, derived from Value of Time",,(0.60 * c_ivt) / valueOfTime,
41,c_shortiWait,"Short initial wait time coefficient -- see ""waitThresh""",,2.00 * c_ivt,
42,c_longiWait,"Long initial wait time coefficient -- see ""waitThresh""",,1.00 * c_ivt,
43,c_wacc,Walk access time coefficient,,2.00 * c_ivt,
